Organisation Name,Organisation Website,Organisation Address,Organisation Languages,Organisation Services,Organisation Google Map,Organisation Details
M.O.S.A.I.C Multi-Lingual Orientation Service Association for Immigrant Communities - Vancouver Language Centre,https://mosaicbc.org/our-programs/free-english-classes-in-vancouver/,"2730 Commercial Drive, Unit 304","English, Arabic, Cantonese, Chinese, Chinese - Simplified (translation only), Chinese - Traditional (translation only), Dari, Farsi (Persian), Japanese, Korean, Mandarin, Persian, Spanish, Vietnamese","['General settlement help', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'General language training', 'Services for children']",http://maps.google.com/maps?q=2730%20Commercial%20Drive%2C%20Unit%20304%20Vancouver%20British%20Columbia%20Canada,"Vancouver, British ColumbiaV5N 5P4Telephone: 604-684-8825Languages of service: English, Arabic, Cantonese, Chinese, Chinese - Simplified (translation only), Chinese - Traditional (translation only), Dari, Farsi (Persian), Japanese, Korean, Mandarin, Persian, Spanish, Vietnamese/General settlement helpHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineGeneral language trainingServices for children"
M.O.S.A.I.C Multi-Lingual Orientation Service Association for Immigrant Communities - Welcome Centre New Westminister SD40,https://mosaicbc.org/,820 Sixth Street,"English, French, Amharic, Arabic, Armenian, Dari, Farsi (Persian), Pashto, Spanish, Tagalog, Tigrigna, Turkish","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Informal language learning', 'Services for children', 'Services for youth']",http://maps.google.com/maps?q=820%20Sixth%20Street%20%20New%20Westminster%20British%20Columbia%20Canada,"New Westminster, British ColumbiaV3M 3S9Telephone: 604-517-6309Languages of service: English, French, Amharic, Arabic, Armenian, Dari, Farsi (Persian), Pashto, Spanish, Tagalog, Tigrigna, Turkish/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobInformal language learningServices for childrenServices for youth"
MABELLEarts,https://www.mabellearts.ca/,annie@mabellearts.ca,"English, Arabic, Spanish","['General settlement help', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Informal language learning', 'Services for women', 'Services for refugees']",mailto:annie@mabellearts.ca,"Toronto, OntarioTelephone: 416-239-4900Languages of service: English, Arabic, Spanish/General settlement helpHelp connecting with the local communityServices available onlineHelp finding a jobInformal language learningServices for womenServices for refugees"
Madison Community Services - Sterling Office,https://madisoncs.org/,"128a Sterling Road, Suite 202","English, Arabic, Dari, Farsi (Persian), Pashto, Persian, Spanish, Ukrainian","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Help getting a licence or certification in a regulated profession', 'Services for youth', 'Services for refugees']",http://maps.google.com/maps?q=128a%20Sterling%20Road%2C%20Suite%20202%20Toronto%20Ontario%20Canada,"Toronto, OntarioM6R 2B7Telephone: 416-977-1333Languages of service: English, Arabic, Dari, Farsi (Persian), Pashto, Persian, Spanish, Ukrainian/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobHelp getting a licence or certification in a regulated professionServices for youthServices for refugees"
Madison Community Services - ACSA Dorset Hub,https://madisoncs.org/,"1911 Kennedy Road, Unit 105","English, Afghan, Arabic, Dari, Farsi (Persian), Pashto, Persian, Spanish, Ukrainian","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Help getting a licence or certification in a regulated profession', 'Services for youth', 'Services for refugees']",http://maps.google.com/maps?q=1911%20Kennedy%20Road%2C%20Unit%20105%20Scarborough%20Ontario%20Canada,"Scarborough, OntarioM1P 2L9Telephone: 416-977-1333Languages of service: English, Afghan, Arabic, Dari, Farsi (Persian), Pashto, Persian, Spanish, Ukrainian/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobHelp getting a licence or certification in a regulated professionServices for youthServices for refugees"
Madison Community Services - Citywide Commons - Madison Community Services,https://madisoncs.org/,"355 Church Street, Floor 2",English,"['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Help getting a licence or certification in a regulated profession', 'Services for youth', 'Services for refugees']",http://maps.google.com/maps?q=355%20Church%20Street%2C%20Floor%202%20Toronto%20Ontario%20Canada,"Toronto, OntarioM5B 0B2Telephone: 416-977-1333Languages of service: English/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobHelp getting a licence or certification in a regulated professionServices for youthServices for refugees"
Maison d'hébergement pour femmes francophones - La Maison - Programme DIVI,https://www.lamaison-toronto.org,2550 Danforth Avenue,French,"['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Services for women', 'Services for French speakers', 'Services for people experiencing gender-based violence']",http://maps.google.com/maps?q=2550%20Danforth%20Avenue%20%20Toronto%20Ontario%20Canada,"Toronto, OntarioM4C 1L2Telephone: 647-670-2292Languages of service: French/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobServices for womenServices for French speakersServices for people experiencing gender-based violence"
MakeWay Charitable Society - East Scarborough Storefront,https://thestorefront.org/,4040 Lawrence Avenue East,English,"['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Services available online']",http://maps.google.com/maps?q=4040%20Lawrence%20Avenue%20East%20%20Scarborough%20Ontario%20Canada,"Scarborough, OntarioM1E 2R6Telephone: 416-208-9889Languages of service: English/General settlement helpGet a settlement planHelp preparing for the citizenship testServices available online"
Making Changes Employment Association of Alberta - Making Changes Association,https://www.makingchangesassociation.ca,6516 1A Street Southwest,English,"['Get a settlement plan', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Help getting a licence or certification in a regulated profession', 'Job-specific language training', 'Informal language learning', 'Services for women', 'Services for refugees']",http://maps.google.com/maps?q=6516%201A%20Street%20Southwest%20%20Calgary%20Alberta%20Canada,"Calgary, AlbertaT2H 0G6Telephone: 403-262-5776Languages of service: English/Get a settlement planHelp connecting with the local communityServices available onlineHelp finding a jobHelp getting a licence or certification in a regulated professionJob-specific language trainingInformal language learningServices for womenServices for refugees"
Malton Neighbourhood Services - Brampton,https://www.mnsinfo.org,"3975 Cottrelle Boulevard, Unit 9","English, Arabic, Gujarati, Hindi, Punjabi","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'General language training', 'Services for children', 'Services for refugees']",http://maps.google.com/maps?q=3975%20Cottrelle%20Boulevard%2C%20Unit%209%20Brampton%20Ontario%20Canada,"Brampton, OntarioL6P 2P9Telephone: 905-794-7111Languages of service: English, Arabic, Gujarati, Hindi, Punjabi/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobGeneral language trainingServices for childrenServices for refugees"
Malton Neighbourhood Services - Head Office,https://www.mnsinfo.org,3540 Morning Star Drive,"English, Arabic, Gujarati, Hindi, Punjabi, Spanish, Tamil, Urdu","['General settlement help', 'Get a settlement plan', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Services for women', 'Services for refugees']",http://maps.google.com/maps?q=3540%20Morning%20Star%20Drive%20%20Mississauga%20Ontario%20Canada,"Mississauga, OntarioL4T 1Y2Telephone: 905-670-6270Languages of service: English, Arabic, Gujarati, Hindi, Punjabi, Spanish, Tamil, Urdu/General settlement helpGet a settlement planHelp connecting with the local communityServices available onlineHelp finding a jobServices for womenServices for refugees"
Malton Neighbourhood Services - Malton Site - Westwood Mall,https://www.mnsinfo.org,7205 Goreway Drive,"English, Arabic, Gujarati, Hindi, Punjabi, Urdu","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'General language training', 'Services for children', 'Services for refugees']",http://maps.google.com/maps?q=7205%20Goreway%20Drive%20%20Mississauga%20Ontario%20Canada,"Mississauga, OntarioL4T 1Y3Telephone: 905-677-2573Languages of service: English, Arabic, Gujarati, Hindi, Punjabi, Urdu/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobGeneral language trainingServices for childrenServices for refugees"
Malvern Family Resource Centre - Head Office,https://www.mfrc.org,90 Littles Road,"English, Bengali, Hindi, Tamil, Urdu","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Services for youth']",http://maps.google.com/maps?q=90%20Littles%20Road%20%20Scarborough%20Ontario%20Canada,"Scarborough, OntarioM1B 5E2Telephone: 416-284-4184Languages of service: English, Bengali, Hindi, Tamil, Urdu/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineServices for youth"
